# rank.exe determinism -- one row per (subject, colour)
# probe=ab(deep=2)@1.classic(chip=100)@2	replicas=3	board=boards/board1.txt
# distinct = distinct move sequences over the replicas (1 = reproducible)
# first_div_ply = first half-move where two replicas differ (-1 = none)
# det = rankAgentIsDeterministic (0 = draws from rand(), expected to fail)
# traceset = hash over the SORTED DISTINCT per-ply position traces. Two runs of
#   this command agree on a row's trajectories exactly when its traceset matches,
#   so diffing two TSVs is an exact cross-process test, not a plies/nodes proxy.
colour	det	timed	replicas	distinct	first_div_ply	traceset	plies	result	nodes_self	id
B	1	0	3	1	-1	41c823111ad2333f	65	W	333249	ab(deep=4)@1.exp(chip=4,forward=1)@2
W	1	0	3	1	-1	3178190f5ee3e8d7	69	W	352255	ab(deep=4)@1.exp(chip=4,forward=2)@2
B	1	0	3	1	-1	41c823111ad2333f	65	W	337342	ab(deep=4)@1.exp(chip=4,forward=2)@2
W	1	0	3	1	-1	3178190f5ee3e8d7	69	W	360435	ab(deep=4)@1.exp(chip=4,forward=4)@2
B	1	0	3	1	-1	41c823111ad2333f	65	W	337869	ab(deep=4)@1.exp(chip=4,forward=4)@2
W	1	0	3	1	-1	3178190f5ee3e8d7	69	W	372018	ab(deep=4)@1.exp(chip=4,forward=8)@2
B	1	0	3	1	-1	41c823111ad2333f	65	W	340973	ab(deep=4)@1.exp(chip=4,forward=8)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	2025478	ab(deep=6,noab,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	1821539	ab(deep=6,noab,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	1450217	ab(deep=6,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	1339050	ab(deep=6,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	494199	ab(deep=6,tt,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	424385	ab(deep=6,tt,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	969807	ab(deep=6,ord,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	818218	ab(deep=6,ord,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	463555	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	375735	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	384366	ab(deep=6,tt,ord,margin=25,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	328079	ab(deep=6,tt,ord,margin=25,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	384366	ab(deep=6,tt,ord,margin=50,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	328079	ab(deep=6,tt,ord,margin=50,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	448560	ab(deep=6,tt,ord,margin=100,nodes=200k)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	370790	ab(deep=6,tt,ord,margin=100,nodes=200k)@1.classic(chip=100)@2
W	1	0	3	1	-1	a46fffb0cbcdb33d	32	B	287716	ab(deep=4)@1.exp(chip=64,column=1,forward=15)@2
B	1	0	3	1	-1	291ef35c2f4a145b	51	W	489437	ab(deep=4)@1.exp(chip=64,column=1,forward=15)@2
W	1	0	3	1	-1	a46fffb0cbcdb33d	32	B	287716	ab(deep=4)@1.exp(chip=65,column=1,forward=14)@2
B	1	0	3	1	-1	291ef35c2f4a145b	51	W	489437	ab(deep=4)@1.exp(chip=65,column=1,forward=14)@2
W	1	0	3	1	-1	895da20fbcc4952c	31	W	1104716	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	be91577c1cdd5346	38	B	1233870	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	96b0bc8a85e522a9	37	W	1277537	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	7f13babd77f8a968	68	B	2522844	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	5017a1f1e4648d9a	43	W	1312521	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	9be7e1d46f941622	56	B	2436821	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	b5b98c5e20a01c42	63	B	2249555	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	ca0673124c2b152e	40	B	976397	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	bf06517bfadcd63e	53	W	2120786	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	ad2751ab1c2c9fc0	42	B	1017025	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	fb1040ee88524ea3	39	B	1213451	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=99,59815079,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	a33d8f609bca2d55	82	W	1718201	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=99,59815079,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	4847436	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	4002403	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2
W	1	0	3	1	-1	926c8be9d74a4efb	47	B	1707183	ab(deep=6,ord,nodes=200k)@1.adv(chip=75,hole=3,race=2,noiseseed=1,racewin=1)@1
B	1	0	3	1	-1	5d673812e4319a02	36	B	1607510	ab(deep=6,ord,nodes=200k)@1.adv(chip=75,hole=3,race=2,noiseseed=1,racewin=1)@1
W	1	0	3	1	-1	b0d46d6e494c2679	29	W	1323036	ab(deep=6,ord,nodes=200k)@1.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1
B	1	0	3	1	-1	e248c146a78178f4	58	W	3265932	ab(deep=6,ord,nodes=200k)@1.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	478505	ab(deep=6,tt,ord,qs,nodes=200k)@1.classic(turn=1,chip=4)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	365025	ab(deep=6,tt,ord,qs,nodes=200k)@1.classic(turn=1,chip=4)@2
W	1	0	3	1	-1	54b437cee376f86b	53	W	2183485	ab(deep=6,tt,ord,qs,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	1a4a4fc4345691a6	30	B	872141	ab(deep=6,tt,ord,qs,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	2b08cd4a8e101950	49	W	1301220	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=1)@1
B	1	0	3	1	-1	34d597c63278cd7b	36	B	890306	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=1)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	248743	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=1)@1
B	1	0	3	1	-1	f92b5576da084a80	24	B	316686	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=1)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	432638	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=2)@1
B	1	0	3	1	-1	eafaeb3b222b24c6	30	B	246798	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=2)@1
W	1	0	3	1	-1	2b591b20eaba3bfc	69	B	2308560	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	29355818396af982	38	B	1151687	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	b5f98be5ce6ed117	47	W	1771851	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	ff6a1fb1737f1435	50	B	1951732	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	2fa3a9fa765e32a7	51	W	2006502	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	51b921a19690b142	58	W	2385709	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	c3b55324274b059	41	W	1358153	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
B	1	0	3	1	-1	d3d160023ac0f858	60	W	2358001	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
W	1	0	3	1	-1	73c773ad1ce490b0	65	B	170391	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	df7a864617e4b6a5	56	B	115169	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	4c87ea303db85893	47	B	112882	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	120a34dfca71aa62	60	W	146000	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	ef442482920f3119	51	B	110210	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
B	1	0	3	1	-1	8b7e4f61ab68208d	52	B	134135	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
W	1	0	3	1	-1	bafe9b928213e97a	67	W	200190	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
B	1	0	3	1	-1	116d4f570eb8eff5	46	B	141408	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
W	1	0	3	1	-1	5a0110c0b90f310f	54	B	8121	ab(deep=2)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	0	3	1	-1	77971f27ff7da918	91	W	9798	ab(deep=2)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	0	3	1	-1	9090b9e109e3207f	46	B	305337	ab(deep=4)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	0	3	1	-1	9150740a844812a	57	W	293198	ab(deep=4)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	0	3	1	-1	f609954d87bf7428	69	B	2558665	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	0	3	1	-1	f324a62768a76734	46	B	2237977	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	0	3	1	-1	4a5307d71969de7f	45	W	5108	ab(deep=2)@1.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	0	3	1	-1	eecfec988083c750	57	W	5569	ab(deep=2)@1.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	0	3	1	-1	5177124df18d1cc3	46	B	404652	ab(deep=4)@1.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	0	3	1	-1	41bd7a6f030a5bd2	55	W	339782	ab(deep=4)@1.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	0	3	1	-1	5aeacbdbde345eac	47	W	2277029	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	0	3	1	-1	befa2b2e31702562	62	B	3355380	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	0	3	1	-1	aec3ba8c95b16095	41	W	3866	ab(deep=2)@1.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	0	3	1	-1	1a2b5b043326120f	63	W	6279	ab(deep=2)@1.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	0	3	1	-1	9688340641bf042d	72	B	413874	ab(deep=4)@1.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	0	3	1	-1	79f30627e899c8e	51	W	380733	ab(deep=4)@1.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	0	3	1	-1	b97902a6a098a3c8	57	W	2316373	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	0	3	1	-1	82895c66314d0c5a	52	B	1820690	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	0	3	1	-1	80c33d68b048c816	64	B	7786	ab(deep=2)@1.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	9f82bf56255b8af	49	W	4943	ab(deep=2)@1.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	aae2baf4554e7704	45	W	326966	ab(deep=4)@1.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	30f73848104f6ce1	46	B	282771	ab(deep=4)@1.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	27559b434d86d95b	57	W	2537192	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	6490304ddba279f3	52	B	2258657	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	51bcd4dbe36c9516	47	W	273564	ab(deep=4)@1.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	1e5d63fe26d625a0	61	W	365324	ab(deep=4)@1.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	70f833a8e6ed8035	33	W	1453255	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	3be1f98e039eb0d3	60	B	2844475	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	13a87c48af472306	59	W	434325	ab(deep=4)@1.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	54fe898acf236623	51	W	253899	ab(deep=4)@1.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	ff70f31cf4cf5b19	41	W	1786517	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	aea5cfc51faa77f	70	B	3596609	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	f9e29a2f2fb6dca5	49	W	378863	ab(deep=4)@1.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	7c1e9567a5883b48	47	W	282727	ab(deep=4)@1.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	3c4135f4c7ed707e	53	W	2884170	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	aa289af9db532e31	50	B	2838186	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	4b051946763a0097	37	W	244798	ab(deep=4)@1.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	ceca4d546bccfbe	56	B	421151	ab(deep=4)@1.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	15ecfd70a8ba6604	49	W	2117060	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	924bd5f3e7911c3b	76	B	3896598	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	755b4433d932bb6c	60	B	390420	ab(deep=4)@1.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	8059e99909459571	72	B	379446	ab(deep=4)@1.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	c74984692b9c3d32	45	W	1774383	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	4390fb6a562f898c	50	B	2143340	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	fc144939b81f32fc	69	W	638184	ab(deep=4)@1.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	897984d664ddb176	59	W	309226	ab(deep=4)@1.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	425cf4468ef4d896	43	W	1972219	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	0	3	1	-1	527e8f9cbd337295	80	W	2727723	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	432638	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=7)@1
B	1	0	3	1	-1	449ce5cbad660d89	34	B	590792	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=7)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	432638	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=8)@1
B	1	0	3	1	-1	eafaeb3b222b24c6	30	B	246798	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=8)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	432638	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=9)@1
B	1	0	3	1	-1	eafaeb3b222b24c6	30	B	246798	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=9)@1
W	1	0	3	1	-1	a45169688b43bb0e	25	W	432638	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=4)@1
B	1	0	3	1	-1	eafaeb3b222b24c6	30	B	246798	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=4)@1
W	1	0	3	1	-1	e6542d008f33638a	55	W	2023159	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
B	1	0	3	1	-1	ad2751ab1c2c9fc0	42	B	853723	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
W	1	0	3	1	-1	e6542d008f33638a	55	W	1858679	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=11)@1
B	1	0	3	1	-1	ad2751ab1c2c9fc0	42	B	635150	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=11)@1
W	1	0	3	1	-1	e6542d008f33638a	55	W	1666615	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1
B	1	0	3	1	-1	ad2751ab1c2c9fc0	42	B	635150	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1
W	1	0	3	1	-1	e6542d008f33638a	55	W	1666615	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1
B	1	0	3	1	-1	ad2751ab1c2c9fc0	42	B	635150	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1
W	1	0	3	1	-1	e6542d008f33638a	55	W	2023159	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
B	1	0	3	1	-1	ad2751ab1c2c9fc0	42	B	635150	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
W	1	0	3	1	-1	62eab25fd7600475	63	B	2670108	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=6)@1
B	1	0	3	1	-1	29355818396af982	38	B	1078979	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=6)@1
W	1	0	3	1	-1	957bcb4021232fe3	51	W	2137864	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
B	1	0	3	1	-1	6e86e0e262170618	40	B	562144	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
W	1	0	3	1	-1	b0d46d6e494c2679	29	W	1323036	ab(deep=6,ord,nodes=200k)@1.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=3)@1
B	1	0	3	1	-1	e248c146a78178f4	58	W	1731916	ab(deep=6,ord,nodes=200k)@1.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=3)@1
