rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
22	975	24	318	226	92	118	41	108	51	37.0	0.724	2.461	3504	87	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r60,d3)@1
23	960	22	524	471	53	240	22	231	31	38.2	3.964	7.585	19361	75	on	ab(d6,tt,ord,asp25,nb200k)@1.classic(t1,c4,w0,l0)@2
24	958	22	524	470	54	240	22	230	32	38.5	3.394	4.429	16583	79	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1
25	955	22	524	469	55	231	31	238	24	37.7	2.578	3.147	12592	82	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r45,d4)@1
26	949	24	318	218	100	114	45	104	55	38.5	4.793	7.326	25399	74	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r7)@1
27	947	22	524	466	58	238	24	228	34	38.7	4.137	3.977	20177	79	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r15,d3)@1
28	939	22	524	463	61	235	27	228	34	37.2	3.593	4.972	17631	76	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r15,d4)@1
29	934	21	524	461	63	217	45	244	18	47.1	0.176	0.265	4278	116	on	ab(d4)@1.classic(t1,c4,w0,l0)@2
30	916	21	524	454	70	223	39	231	31	38.4	1.977	2.303	9710	82	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r60,d4)@1
31	908	24	318	205	113	106	53	99	60	38.3	5.377	8.188	28996	70	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1
32	906	21	524	450	74	218	44	232	30	38.8	5.077	7.760	124703	70	on	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@2
33	901	20	524	448	76	213	49	235	27	39.0	1.370	2.106	33881	82	on	ab(d5)@1.classic(t1,c4,w0,l0)@2
34	892	20	524	444	80	238	24	206	56	49.2	0.514	0.805	10480	92	on	ab(d4)@1.exp(t1,c4,w0,l0,f2)@2
35	892	20	524	444	80	221	41	223	39	43.3	3.759	5.049	18816	73	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d3)@1
36	871	19	504	310	194	162	90	148	104	36.8	0.165	0.266	3704	108	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1
37	870	20	524	434	90	224	38	210	52	38.6	5.007	7.094	24781	68	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r4)@1
38	855	19	524	427	97	204	58	223	39	39.6	5.414	7.833	27372	66	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r7)@1
39	853	19	504	301	203	157	95	144	108	35.7	0.048	0.065	1097	141	gone	ab(d3)@1.classic(t1,c4,w0,l0)@1
40	850	19	524	425	99	219	43	206	56	50.5	0.488	0.772	9925	89	on	ab(d4)@1.exp(t1,c4,w0,l0,f1)@2
41	838	19	524	419	105	213	49	206	56	49.7	0.504	0.810	10256	87	on	ab(d4)@1.exp(t1,c4,w0,l0,f4)@2
42	837	23	318	182	136	94	65	88	71	38.4	5.269	8.004	28299	65	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r14)@1
43	837	19	504	293	211	156	96	137	115	37.8	0.171	0.240	3691	106	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r5)@1
44	837	19	504	293	211	154	98	139	113	37.6	5.402	7.039	123467	65	gone	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1
45	835	19	504	292	212	148	104	144	108	35.4	8.264	10.543	184041	62	gone	ab(d6,noab,nb200k)@1.classic(t1,c4,w0,l0)@1
46	824	19	524	412	112	215	47	197	65	50.2	0.497	0.802	10121	85	on	ab(d4)@1.exp(t1,c4,w0,l0,f8)@2
47	822	23	318	177	141	104	55	73	86	54.7	2.621	2.567	17300	73	gone	ab(d4)@1.exp(t20,c64,w0,l1,f15)@1
48	817	19	504	283	221	170	82	113	139	46.4	0.593	0.762	11861	85	gone	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1
49	816	18	524	408	116	206	56	202	60	62.1	1.567	2.436	18141	73	on	ab(d4)@1.classic(t2,c10,w3,l2)@2
50	797	24	318	169	149	94	65	75	84	55.5	2.632	2.638	17358	70	gone	ab(d4)@1.exp(t20,c65,w0,l1,f14)@1
51	795	18	524	397	127	192	70	205	57	44.0	0.165	0.217	3979	102	on	ab(d4)@1.classic(t1,c4,w0,l0)@2.dil(r5)@1
52	781	18	524	389	135	191	71	198	64	47.2	3.002	4.500	14927	64	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r45,d3)@1
53	772	18	524	384	140	196	66	188	74	39.9	5.448	7.192	27627	60	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r10)@1
54	768	18	524	382	142	201	61	181	81	57.0	1.668	2.285	17431	69	on	ab(d4)@1.exp(t20,c64,w0,l1,f15)@2
55	763	18	524	379	145	165	97	214	48	48.4	0.048	0.074	1163	122	on	ab(d3)@1.classic(t1,c4,w0,l0)@2
56	762	19	504	256	248	131	121	125	127	38.6	0.153	0.244	3513	96	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1
57	762	19	504	256	248	143	109	113	139	47.3	0.758	0.715	14689	80	gone	ab(d4)@1.exp(t1,c4,w0,l0,f4)@1
58	758	19	504	254	250	146	106	108	144	47.7	0.759	0.743	14615	79	gone	ab(d4)@1.exp(t1,c4,w0,l0,f1)@1
59	753	24	318	155	163	86	73	69	90	37.4	5.211	7.812	28727	58	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r18)@1
60	753	17	524	373	151	194	68	179	83	56.4	1.653	2.318	17288	67	on	ab(d4)@1.exp(t20,c65,w0,l1,f14)@2
61	744	17	524	368	156	180	82	188	74	41.5	6.901	10.306	176919	56	on	ab(d6,noab,nb200k)@1.classic(t1,c4,w0,l0)@2
62	742	19	504	246	258	145	107	101	151	55.9	4.461	3.527	29876	63	gone	ab(d4)@1.classic(t2,c10,w3,l2)@1
63	726	17	524	357	167	172	90	185	77	40.3	4.728	7.176	116203	57	on	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r10)@1
64	721	19	504	236	268	138	114	98	154	47.4	0.807	0.753	15694	75	gone	ab(d4)@1.exp(t1,c4,w0,l0,f8)@1
65	713	17	524	349	175	153	109	196	66	56.2	0.005	0.005	114	268	on	ab(d2)@1.classic(t1,c4,w0,l0)@2
66	686	16	524	332	192	171	91	161	101	40.9	5.559	6.939	28386	54	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r14)@1
67	683	16	524	330	194	163	99	167	95	46.6	0.158	0.236	3804	87	on	ab(d4)@1.classic(t1,c4,w0,l0)@2.dil(r10)@1
68	678	16	524	327	197	155	107	172	90	48.2	1.955	3.059	9796	59	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r60,d3)@1
69	659	24	318	126	192	69	90	57	102	38.2	5.891	7.611	33363	51	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r22)@1
70	651	16	524	309	215	140	122	169	93	57.4	0.340	0.284	1030	80	on	ab(d4,tt,ord,nb200k)@1.learned(s45,d675341a)@1
71	646	20	504	200	304	107	145	93	159	37.2	0.006	0.002	113	428	gone	ab(d2)@1.classic(t1,c4,w0,l0)@1
72	636	16	524	299	225	132	130	167	95	58.7	0.309	0.272	956	79	on	ab(d4,tt,ord,nb200k)@1.learned(s34,d9ec0240)@1
73	636	16	524	299	225	150	112	149	113	42.1	5.272	7.271	26813	50	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r18)@1
74	623	16	524	290	234	151	111	139	123	60.7	0.375	0.341	1171	74	on	ab(d4,tt,ord,nb200k)@1.learned(s13,629d8cc2)@1
75	623	16	524	290	234	156	106	134	128	62.8	0.306	0.264	928	77	on	ab(d4,tt,ord,nb200k)@1.learned(s22,a80f6d17)@1
76	607	16	524	279	245	127	135	152	110	51.5	0.267	0.257	789	76	on	ab(d4,tt,ord,nb200k)@1.learned(s67,1c5729aa)@1
77	606	16	524	278	246	164	98	114	148	60.7	0.307	0.267	945	75	on	ab(d4,tt,ord,nb200k)@1.learned(s44,a24e33eb)@1
78	605	25	318	110	208	52	107	58	101	38.3	5.691	7.216	31655	47	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r28)@1
79	600	20	504	179	325	88	164	91	161	37.5	4.915	6.031	111833	48	gone	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r25)@1
80	597	16	524	272	252	131	131	141	121	57.2	0.390	0.330	1260	71	on	ab(d4,tt,ord,nb200k)@1.learned(s10,0ff9b1c8)@1
81	596	16	524	271	253	122	140	149	113	50.6	0.586	0.508	796	66	on	ab(d4,tt,ord,nb200k)@1.learned(s61,a4ffae3c)@1
82	590	16	524	267	257	130	132	137	125	59.4	0.307	0.273	935	73	on	ab(d4,tt,ord,nb200k)@1.learned(s16,d12688ec)@1
83	590	16	524	267	257	148	114	119	143	50.1	0.524	0.442	737	67	on	ab(d4,tt,ord,nb200k)@1.learned(s66,847120cf)@1
84	590	16	524	267	257	124	138	143	119	55.0	0.364	0.312	1104	71	on	ab(d4,tt,ord,nb200k)@1.learned(s36,f5470908)@1
85	588	16	524	266	258	129	133	137	125	41.8	5.316	6.923	27212	46	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r22)@1
86	587	16	524	265	259	132	130	133	129	59.0	0.365	0.311	1065	71	on	ab(d4,tt,ord,nb200k)@1.learned(s42,cc89a549)@1
87	584	16	524	263	261	148	114	115	147	51.6	0.618	0.557	833	64	on	ab(d4,tt,ord,nb200k)@1.learned(s57,a639450c)@1
88	583	16	524	262	262	120	142	142	120	51.0	0.559	0.467	746	66	on	ab(d4,tt,ord,nb200k)@1.learned(s58,8a52cfde)@1
89	581	16	524	261	263	114	148	147	115	58.2	0.319	0.270	958	72	on	ab(d4,tt,ord,nb200k)@1.learned(s39,e57b6cbb)@1
90	577	16	524	258	266	130	132	128	134	57.3	0.323	0.273	987	71	on	ab(d4,tt,ord,nb200k)@1.learned(s49,080031ad)@1
91	575	16	524	257	267	131	131	126	136	58.2	0.303	0.271	932	71	on	ab(d4,tt,ord,nb200k)@1.learned(s47,d8e7cb78)@1
92	575	20	504	168	336	82	170	86	166	39.0	0.138	0.184	2984	76	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r25)@1
93	570	16	524	253	271	126	136	127	135	53.4	0.273	0.234	790	72	on	ab(d4,tt,ord,nb200k)@1.learned(s68,2a6c5a04)@1
94	570	16	524	253	271	119	143	134	128	55.8	0.324	0.281	1082	70	on	ab(d4,tt,ord,nb200k)@1.learned(s72,c9f64f64)@1
95	567	16	524	251	273	134	128	117	145	51.8	0.514	0.445	721	64	on	ab(d4,tt,ord,nb200k)@1.learned(s65,3ae65557)@1
96	565	16	524	250	274	109	153	141	121	58.7	0.377	0.297	1145	69	on	ab(d4,tt,ord,nb200k)@1.learned(s52,60638ed7)@1
97	565	16	524	250	274	116	146	134	128	51.1	0.263	0.262	783	70	on	ab(d4,tt,ord,nb200k)@1.learned(s60,3a0fec50)@1
98	563	16	524	248	276	132	130	116	146	56.6	0.342	0.273	1021	69	on	ab(d4,tt,ord,nb200k)@1.learned(s33,3551d6b1)@1
99	561	16	524	247	277	116	146	131	131	55.4	0.338	0.295	1112	68	on	ab(d4,tt,ord,nb200k)@1.learned(s7,fc796f83)@1
100	561	16	524	247	277	119	143	128	134	54.7	0.296	0.271	1047	69	on	ab(d4,tt,ord,nb200k)@1.learned(s78,c428beb0)@1
101	560	16	524	246	278	131	131	115	147	56.4	0.312	0.276	1105	69	on	ab(d4,tt,ord,nb200k)@1.learned(s76,2e412bc4)@1
102	557	16	524	244	280	116	146	128	134	51.3	0.261	0.206	762	72	on	ab(d4,tt,ord,nb200k)@1.learned(s64,e5f3229a)@1
103	553	16	524	241	283	149	113	92	170	57.9	0.291	0.234	911	70	on	ab(d4,tt,ord,nb200k)@1.learned(s30,7d34ec8a)@1
104	553	16	524	241	283	114	148	127	135	55.7	0.385	0.345	1195	66	on	ab(d4,tt,ord,nb200k)@1.learned(s38,0314b24f)@1
105	551	16	524	240	284	113	149	127	135	52.2	0.575	0.513	797	61	on	ab(d4,tt,ord,nb200k)@1.learned(s62,78c12b90)@1
106	544	16	524	235	289	122	140	113	149	57.3	0.259	0.225	987	70	on	ab(d4,tt,ord,nb200k)@1.learned(s9,e27d9f48)@1
107	541	16	524	233	291	109	153	124	138	56.1	0.265	0.245	1015	68	on	ab(d4,tt,ord,nb200k)@1.learned(s80,5b9b1a34)@1
108	538	16	524	231	293	123	139	108	154	58.0	0.304	0.276	1009	66	on	ab(d4,tt,ord,nb200k)@1.learned(s70,68972f05)@1
109	537	16	524	230	294	118	144	112	150	56.8	0.322	0.275	1114	66	on	ab(d4,tt,ord,nb200k)@1.learned(s73,4b9da81b)@1
110	534	16	524	228	296	116	146	112	150	59.2	0.342	0.319	1085	64	on	ab(d4,tt,ord,nb200k)@1.learned(s48,ee557e97)@1
111	531	16	524	226	298	129	133	97	165	56.6	0.353	0.284	1078	65	on	ab(d4,tt,ord,nb200k)@1.learned(s26,aedd28f9)@1
112	531	16	524	226	298	103	159	123	139	49.9	0.264	0.225	783	68	on	ab(d4,tt,ord,nb200k)@1.learned(s63,716ed803)@1
113	530	16	524	225	299	106	156	119	143	55.4	0.324	0.280	1200	65	on	ab(d4,tt,ord,nb200k)@1.learned(s77,ba5a5adb)@1
114	527	16	524	223	301	97	165	126	136	54.3	0.320	0.284	963	65	on	ab(d4,tt,ord,nb200k)@1.learned(s28,6c8ae585)@1
115	525	16	524	222	302	109	153	113	149	55.0	0.329	0.319	1084	63	on	ab(d4,tt,ord,nb200k)@1.learned(s69,0f527c41)@1
116	525	16	524	222	302	96	166	126	136	56.0	0.329	0.292	1196	64	on	ab(d4,tt,ord,nb200k)@1.learned(s75,8cb3c846)@1
117	525	16	524	222	302	92	170	130	132	54.6	0.359	0.319	1097	63	on	ab(d4,tt,ord,nb200k)@1.learned(s31,8fd20ff6)@1
118	524	16	524	221	303	91	171	130	132	65.1	0.405	0.352	1261	62	on	ab(d4,tt,ord,nb200k)@1.learned(s11,4fb7f74b)@1
119	524	16	524	221	303	101	161	120	142	51.5	0.281	0.235	804	66	on	ab(d4,tt,ord,nb200k)@1.learned(s59,57cf2958)@1
120	522	16	524	220	304	105	157	115	147	54.3	0.300	0.282	1051	64	on	ab(d4,tt,ord,nb200k)@1.learned(s74,151941d5)@1
121	522	21	504	145	359	75	177	70	182	56.5	0.004	0.005	0	204	gone	greedy@1.classic(t2,c10,w3,l2)@1
122	520	16	524	218	306	108	154	110	152	56.1	0.344	0.320	1191	62	on	ab(d4,tt,ord,nb200k)@1.learned(s71,3f0a5881)@1
123	518	16	524	217	307	109	153	108	154	64.9	0.337	0.289	1102	63	on	ab(d4,tt,ord,nb200k)@1.learned(s14,3d28f8f6)@1
124	518	16	524	217	307	107	155	110	152	61.4	0.349	0.338	1092	62	on	ab(d4,tt,ord,nb200k)@1.learned(s32,870e9f28)@1
125	517	16	524	216	308	106	156	110	152	54.8	0.340	0.279	1027	64	on	ab(d4,tt,ord,nb200k)@1.learned(s53,8e142fea)@1
126	515	16	524	215	309	107	155	108	154	63.8	0.334	0.284	1035	63	on	ab(d4,tt,ord,nb200k)@1.learned(s23,eb109fd1)@1
127	515	16	524	215	309	99	163	116	146	60.1	0.332	0.306	1034	62	on	ab(d4,tt,ord,nb200k)@1.learned(s41,969172a5)@1
128	512	16	524	213	311	127	135	86	176	59.1	0.349	0.299	1066	62	on	ab(d4,tt,ord,nb200k)@1.learned(s18,f6f8e14e)@1
129	512	16	524	213	311	121	141	92	170	56.3	0.393	0.354	1217	60	on	ab(d4,tt,ord,nb200k)@1.learned(s25,2417d2ef)@1
130	511	16	524	212	312	103	159	109	153	45.6	0.133	0.179	3221	68	on	ab(d4)@1.classic(t1,c4,w0,l0)@2.dil(r25)@1
131	511	16	524	212	312	134	128	78	184	59.4	0.326	0.247	1979	64	on	ab(d4,tt,ord,nb200k)@1.learned(s3,9c12fe2e)@1
132	511	16	524	212	312	87	175	125	137	59.1	0.360	0.292	1127	62	on	ab(d4,tt,ord,nb200k)@1.learned(s43,3c894531)@1
133	511	16	524	212	312	106	156	106	156	57.1	0.287	0.240	1109	65	on	ab(d4,tt,ord,nb200k)@1.learned(s79,b2b57c78)@1
134	511	16	524	212	312	101	161	111	151	54.5	0.260	0.221	986	66	on	ab(d4,tt,ord,nb200k)@1.learned(s8,126d9fb2)@1
135	509	16	524	211	313	135	127	76	186	59.0	0.339	0.281	1035	63	on	ab(d4,tt,ord,nb200k)@1.learned(s24,fe676e2e)@1
136	507	16	524	209	315	97	165	112	150	55.8	0.321	0.282	996	62	on	ab(d4,tt,ord,nb200k)@1.learned(s50,7279a22a)@1
137	504	16	524	207	317	93	169	114	148	58.4	0.331	0.293	1037	61	on	ab(d4,tt,ord,nb200k)@1.learned(s46,e59671ae)@1
138	499	16	524	204	320	103	159	101	161	43.0	4.084	5.996	100109	40	on	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r25)@1
139	498	16	524	203	321	106	156	97	165	41.1	5.201	6.899	26878	39	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r28)@1
140	496	16	524	202	322	87	175	115	147	57.7	0.321	0.270	995	61	on	ab(d4,tt,ord,nb200k)@1.learned(s17,8a6b139b)@1
141	495	16	524	201	323	111	151	90	172	59.6	0.357	0.305	1116	60	on	ab(d4,tt,ord,nb200k)@1.learned(s37,c07509c1)@1
142	495	16	524	201	323	107	155	94	168	55.3	0.306	0.269	972	61	on	ab(d4,tt,ord,nb200k)@1.learned(s6,6078c2b8)@1
143	490	16	524	198	326	109	153	89	173	59.1	0.329	0.254	979	61	on	ab(d4,tt,ord,nb200k)@1.learned(s27,ee3dc4e8)@1
144	490	16	524	198	326	79	183	119	143	62.6	0.006	0.005	0	194	on	greedy@1.classic(t2,c10,w3,l2)@2
145	486	16	524	195	329	87	175	108	154	61.5	0.281	0.233	873	62	on	ab(d4,tt,ord,nb200k)@1.learned(s15,4b6e327b)@1
146	483	16	524	193	331	98	164	95	167	52.4	0.357	0.316	1110	58	on	ab(d4,tt,ord,nb200k)@1.learned(s56,000e690f)@1
147	473	16	524	186	338	93	169	93	169	60.7	0.343	0.290	1041	58	on	ab(d4,tt,ord,nb200k)@1.learned(s21,bc235a23)@1
148	471	16	524	185	339	97	165	88	174	55.7	0.366	0.304	1140	57	on	ab(d4,tt,ord,nb200k)@1.learned(s54,703d77f7)@1
149	457	22	504	119	385	53	199	66	186	33.3	0.001	0.002	24	300	gone	ab(d1)@1.classic(t1,c4,w0,l0)@1
150	456	16	524	175	349	107	155	68	194	61.4	0.417	0.366	1299	54	on	ab(d4,tt,ord,nb200k)@1.learned(s12,e146a4fd)@1
151	456	16	524	175	349	84	178	91	171	57.1	0.385	0.335	1227	54	on	ab(d4,tt,ord,nb200k)@1.learned(s29,42a2fbaa)@1
152	450	16	524	171	353	63	199	108	154	53.4	0.322	0.275	982	55	on	ab(d4,tt,ord,nb200k)@1.learned(s19,b002ba49)@1
153	446	22	504	115	389	55	197	60	192	33.6	0.001	0.000	0	-	gone	greedy@1.classic(t1,c4,w0,l0)@1
154	444	16	524	167	357	76	186	91	171	56.1	0.290	0.240	1769	56	on	ab(d4,tt,ord,nb200k)@1.learned(s5,02a0e14f)@1
155	435	28	318	66	252	36	123	30	129	37.7	5.622	6.720	31845	34	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r35)@1
156	433	17	524	160	364	66	196	94	168	53.9	0.309	0.252	961	54	on	ab(d4,tt,ord,nb200k)@1.learned(s20,2fd22539)@1
157	430	17	524	158	366	84	178	74	188	60.2	0.375	0.325	1220	51	on	ab(d4,tt,ord,nb200k)@1.learned(s51,58f9dd8c)@1
158	430	17	524	158	366	76	186	82	180	52.8	0.346	0.280	1064	53	on	ab(d4,tt,ord,nb200k)@1.learned(s55,a8f871c9)@1
159	419	14	1012	246	766	122	384	124	382	51.2	0.001	0.001	0	-	on	tiered@1
160	417	17	524	150	374	77	185	73	189	56.8	0.257	0.195	760	55	on	ab(d4,tt,ord,nb200k)@1.learned(s40,71aad91c)@1
161	415	17	524	149	375	82	180	67	195	40.5	4.727	6.636	24596	33	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r35)@1
162	413	14	1012	240	772	116	390	124	382	56.0	0.001	0.000	0	-	on	smart(2)@1
163	410	14	1012	238	774	120	386	118	388	54.8	0.001	0.001	0	365	on	smart(4)@1
164	409	14	1012	237	775	115	391	122	384	53.6	0.001	0.002	0	282	on	smart(6)@1
165	406	17	524	143	381	79	183	64	198	56.9	0.276	0.224	1620	52	on	ab(d4,tt,ord,nb200k)@1.learned(s4,c324e8a7)@1
166	395	29	318	57	261	33	126	24	135	36.7	5.165	5.991	29635	32	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r43)@1
167	394	17	524	136	388	56	206	80	182	56.8	0.380	0.292	1208	48	on	ab(d4,tt,ord,nb200k)@1.learned(s35,adc3f876)@1
168	366	18	524	120	404	54	208	66	196	43.6	0.001	0.004	0	155	on	greedy@1.classic(t1,c4,w0,l0)@2
169	350	18	524	111	413	29	233	82	180	46.2	0.001	0.004	24	152	on	ab(d1)@1.classic(t1,c4,w0,l0)@2
170	324	25	504	73	431	35	217	38	214	35.4	3.089	4.231	70009	27	gone	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r50)@1
171	323	19	524	97	427	49	213	48	214	39.2	4.293	5.840	22343	26	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r43)@1
172	306	31	318	39	279	21	138	18	141	33.7	4.301	5.078	24222	25	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r52)@1
173	261	26	504	55	449	31	221	24	228	34.3	0.103	0.130	2209	37	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r50)@1
174	234	21	524	57	467	26	236	31	231	38.2	2.817	4.186	69152	19	on	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r50)@1
175	218	22	524	51	473	26	236	25	237	37.5	0.092	0.129	2205	31	on	ab(d4)@1.classic(t1,c4,w0,l0)@2.dil(r50)@1
176	203	36	318	22	296	13	146	9	150	31.4	3.071	3.684	17364	17	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r63)@1
177	202	23	524	45	479	26	236	19	243	35.5	3.888	5.211	20222	16	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r52)@1
178	143	39	318	14	304	8	151	6	153	28.7	2.805	2.590	15640	13	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r75)@1
179	110	27	524	18	506	10	252	8	254	31.8	2.900	3.933	15389	9	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1
180	76	29	524	10	514	5	257	5	257	27.8	2.028	2.720	10889	7	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r75)@1
181	0	27	1012	2	1010	2	504	0	506	22.9	0.001	0.001	0	-	anchor	rand@1
