# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Wide pivot of D:\Downloads\Zeph\Board Games\Breakthrough\plans\gumbel-mcts-joint-sweep-agents-5-violet-harbor.tsv: one row per {block, seed}, rung values spread into columns.
# Columns constant across a group's rung values are not suffixed; columns that vary are '<col>_rung<value>'.
# Generated by tools/export_cohort_results.ps1.
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	games	nodes_per_move	search_head_id	slot_rung100	slot_rung400	slot_rung1500	slot_rung4000	model_rung100	model_rung400	model_rung1500	model_rung4000	elo_rung100	elo_rung400	elo_rung1500	elo_rung4000	elo_pm_rung100	elo_pm_rung400	elo_pm_rung1500	elo_pm_rung4000	cpu_ms_move_rung100	cpu_ms_move_rung400	cpu_ms_move_rung1500	cpu_ms_move_rung4000	wl_as_white_rung100	wl_as_white_rung400	wl_as_white_rung1500	wl_as_white_rung4000	wl_as_black_rung100	wl_as_black_rung400	wl_as_black_rung1500	wl_as_black_rung4000	avg_plies_rung100	avg_plies_rung400	avg_plies_rung1500	avg_plies_rung4000	end_piece_margin_rung100	end_piece_margin_rung400	end_piece_margin_rung1500	end_piece_margin_rung4000	eff_elo_per_log2cpu_rung100	eff_elo_per_log2cpu_rung400	eff_elo_per_log2cpu_rung1500	eff_elo_per_log2cpu_rung4000	model_id_rung100	model_id_rung400	model_id_rung1500	model_id_rung4000	full_agent_id_rung100	full_agent_id_rung400	full_agent_id_rung1500	full_agent_id_rung4000
R10	8810	300	0.01	0	8000	128	128	4	400	70	12	432	0	gaz(sims=300,cvisit=400,cscale=70,m=12)@1	1038	1039	1040	1041	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1038.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1039.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1040.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1041.txt	587	739	737	584	22	19	19	22	1.130	0.914	0.937	0.849	67-149	101-115	83-133	58-158	54-162	82-134	99-117	62-154	47	51	51	50	-0.2	0.6	0.6	-0.5	58	75	75	60	learned(model=1038,27c779dd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1039,fd8785d6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1040,87f344b5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1041,4dcdcb4f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1038,27c779dd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1039,fd8785d6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1040,87f344b5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1041,4dcdcb4f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R11	8811	300	0.01	0.001	500	16	8	4	600	130	16	432	0	gaz(sims=300,cvisit=600,cscale=130)@1	1042	1043	1044	1045	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1042.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1043.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1044.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1045.txt	514	557	550	560	25	23	23	23	0.803	0.692	0.838	0.784	46-170	58-158	52-164	44-172	52-164	53-163	57-159	68-148	39	39	41	41	-1.2	-1.1	-1.1	-0.9	53	59	57	58	learned(model=1042,ecd9e829,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1043,a7afe17d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1044,990a8cac,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1045,d98c545a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1042,ecd9e829,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1043,a7afe17d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1044,990a8cac,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1045,d98c545a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R12	8812	300	0.003	0.0003	2000	32	128	8	1000	70	12	432	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	1046	1047	1048	1049	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1046.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1047.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1048.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1049.txt	521	628	628	587	24	21	21	22	1.096	0.830	0.944	0.996	62-154	79-137	86-130	74-142	38-178	57-159	50-166	47-169	45	46	46	46	-1.0	-0.5	-0.5	-0.5	52	65	64	59	learned(model=1046,62d29bde,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1047,aa42b31e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1048,4906cbc2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1049,f82a625b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1046,62d29bde,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1047,aa42b31e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1048,4906cbc2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1049,f82a625b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R13	8813	400	0.03	0.001	8000	128	128	0	400	70	12	432	0	gaz(sims=400,cvisit=400,cscale=70,m=12)@1	1050	1051	1052	1053	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1050.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1051.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1052.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1053.txt	507	615	598	569	25	22	22	23	1.232	1.087	1.049	1.075	66-150	72-144	68-148	66-150	30-186	59-157	57-159	49-167	40	41	40	42	-0.9	-0.5	-0.8	-0.8	49	61	60	56	learned(model=1050,adf11260,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1051,e30f9976,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1052,0b2ca037,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1053,468ea5ef,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1050,adf11260,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1051,e30f9976,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1052,0b2ca037,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1053,468ea5ef,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R14	8814	500	0.01	0.0003	2000	32	8	4	1000	100	20	432	0	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1	1054	1055	1056	1057	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1054.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1055.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1056.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1057.txt	537	462	592	612	24	26	22	22	1.885	1.633	1.551	1.658	50-166	31-185	57-159	54-162	55-161	53-163	66-150	76-140	49	46	46	47	-1.0	-1.0	-0.8	-1.0	49	43	56	57	learned(model=1054,ef6e6de7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1055,e27b1255,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1056,5ada8816,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1057,aca247cd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1054,ef6e6de7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1055,e27b1255,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1056,5ada8816,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1057,aca247cd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R15	8815	400	0.003	0.0003	2000	32	32	4	600	70	8	432	0	gaz(sims=400,cvisit=600,cscale=70,m=8)@1	1058	1059	1060	1061	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1058.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1059.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1060.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1061.txt	598	584	572	589	22	22	23	22	1.327	1.136	1.217	1.225	78-138	74-142	74-142	67-149	47-169	46-170	42-174	55-161	44	45	46	45	-0.7	-0.8	-0.7	-0.7	58	57	56	57	learned(model=1058,4f54fcc1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1059,267bcc6a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1060,85a64702,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1061,0a003a70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1058,4f54fcc1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1059,267bcc6a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1060,85a64702,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1061,0a003a70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R16	8816	400	0.01	0.0003	500	16	32	4	400	70	20	432	0	gaz(sims=400,cvisit=400,cscale=70,m=20)@1	1062	1063	1064	1065	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1062.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1063.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1064.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1065.txt	462	595	581	521	26	22	23	24	1.254	1.052	1.130	1.054	28-188	55-161	51-165	42-174	56-160	69-147	68-148	58-158	43	44	44	44	-0.9	-0.8	-0.6	-1.0	45	59	57	52	learned(model=1062,972f2877,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1063,937f6d87,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1064,fd42b025,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1065,2a53354f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1062,972f2877,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1063,937f6d87,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1064,fd42b025,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1065,2a53354f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R17	8817	400	0.003	0	2000	32	128	8	400	130	8	432	0	gaz(sims=400,cvisit=400,cscale=130,m=8)@1	1066	1067	1068	1069	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1066.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1067.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1068.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1069.txt	537	752	566	722	24	19	23	20	1.553	1.390	1.381	1.639	65-151	107-109	31-185	101-115	40-176	82-134	83-133	74-142	48	48	50	52	-1.0	-0.1	1.0	0.7	51	72	54	68	learned(model=1066,b28ad1ff,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1067,f56b0ec9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1068,1a90fb9a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1069,5d6c616a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1066,b28ad1ff,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1067,f56b0ec9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1068,1a90fb9a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1069,5d6c616a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R18	8818	500	0.003	0.001	500	16	32	0	1000	40	20	432	0	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1	1070	1071	1072	1073	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1070.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1071.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1072.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1073.txt	581	496	566	550	23	25	23	23	1.493	1.404	1.570	1.515	57-159	42-174	46-170	46-170	62-154	51-165	68-148	63-153	43	43	43	44	-0.9	-1.0	-1.1	-1.1	55	47	53	52	learned(model=1070,8d4cc03a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1071,2b31b7c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1072,a623b495,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1073,d016c01e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1070,8d4cc03a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1071,2b31b7c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1072,a623b495,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1073,d016c01e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R19	8819	400	0.03	0.0003	500	16	32	4	400	130	20	432	0	gaz(sims=400,cvisit=400,cscale=130,m=20)@1	1074	1075	1076	1077	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1074.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1075.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1076.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1077.txt	560	592	553	601	23	22	23	22	1.284	1.173	1.230	1.237	36-180	57-159	51-165	54-162	76-140	66-150	59-157	72-144	43	43	41	46	-0.8	-0.8	-0.7	-1.0	54	58	54	58	learned(model=1074,6e9cf7e0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1075,5ce66671,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1076,0390fdda,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1077,b55b1326,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1074,6e9cf7e0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1075,5ce66671,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1076,0390fdda,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1077,b55b1326,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R20	8820	500	0.003	0	8000	128	32	8	800	40	12	432	0	gaz(sims=500,cvisit=800,cscale=40,m=12)@1	1078	1079	1080	1081	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1078.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1079.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1080.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1081.txt	420	654	730	706	28	21	19	20	2.153	1.560	1.613	1.740	30-186	62-154	89-127	89-127	44-172	84-132	90-126	79-137	47	49	49	54	-1.0	-0.4	0.1	1.1	38	62	69	66	learned(model=1078,9e29f570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1079,1969c1ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1080,269175ae,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1081,886b9d8f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1078,9e29f570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1079,1969c1ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1080,269175ae,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1081,886b9d8f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R21	8821	300	0.03	0	2000	32	8	8	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1082	1083	1084	1085	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1082.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1083.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1084.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1085.txt	507	595	710	771	25	22	20	19	1.021	0.809	0.876	0.814	60-156	75-141	96-120	62-154	36-180	49-167	74-142	136-80	46	43	50	54	-0.9	-0.5	0.1	1.3	51	62	73	80	learned(model=1082,702cf5e4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1083,e69865db,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1084,1eac18f0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1085,62005965,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1082,702cf5e4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1083,e69865db,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1084,1eac18f0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1085,62005965,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R22	8822	400	0.03	0.0003	500	16	128	0	800	130	8	432	0	gaz(sims=400,cvisit=800,cscale=130,m=8)@1	1086	1087	1088	1089	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1086.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1087.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1088.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1089.txt	581	503	537	537	23	25	24	24	1.226	1.328	1.390	1.175	53-163	39-177	51-165	52-164	66-150	56-160	54-162	53-163	45	45	43	44	-0.9	-0.9	-0.9	-0.9	57	49	51	53	learned(model=1086,aa294758,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1087,9692f343,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1088,9e0e2d82,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1089,6aee0748,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1086,aa294758,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1087,9692f343,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1088,9e0e2d82,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1089,6aee0748,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R23	8823	300	0.003	0.0003	8000	128	8	8	1000	70	8	432	0	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1	1090	1091	1092	1093	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1090.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1091.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1092.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1093.txt	342	534	531	620	31	24	24	22	1.679	1.025	0.966	0.880	31-185	67-149	55-161	82-134	27-189	37-179	48-168	51-165	44	46	45	44	-1.7	-0.9	-0.7	-0.4	32	53	54	63	learned(model=1090,1d9db23a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1091,75de056c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1092,ed134431,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1093,7299bb58,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1090,1d9db23a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1091,75de056c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1092,ed134431,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1093,7299bb58,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R24	8824	500	0.003	0	8000	128	8	4	1000	70	20	432	0	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1	1094	1095	1096	1097	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1094.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1095.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1096.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1097.txt	308	592	534	754	32	22	24	19	2.640	1.589	1.495	1.562	26-190	79-137	61-155	106-110	26-190	44-172	43-173	84-132	43	45	45	46	-1.3	-0.5	-0.8	0.1	27	56	51	71	learned(model=1094,aa426153,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1095,463ccb0f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1096,86521769,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1097,3ff750e2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1094,aa426153,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1095,463ccb0f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1096,86521769,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1097,3ff750e2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
